sdMedian  model              macroMAE  IS80    cov80  inGateCov80  inGateIS80
2.2       v2-bayes           5.010    30.820   0.832    0.884    17.960 
2.2       R26-clean3         5.017    30.665   0.798    0.848    17.466 
2.2       R26-clean3.5       5.012    30.701   0.817    0.869    17.667 
2.2       R26-clean3-n3      5.011    30.749   0.810    0.861    17.699 
2.2       R26-clean3-wonly   5.010    30.609   0.799    0.848    17.404 
3         v2-bayes           5.570    32.707   0.787    0.838    19.866 
3         R26-clean3         5.598    32.979   0.749    0.797    19.832 
3         R26-clean3.5       5.581    32.789   0.770    0.820    19.790 
3         R26-clean3-n3      5.573    32.824   0.766    0.815    19.813 
3         R26-clean3-wonly   5.570    32.857   0.751    0.799    19.698 
3.8       v2-bayes           6.101    34.810   0.750    0.799    21.988 
3.8       R26-clean3         6.146    35.442   0.709    0.756    22.350 
3.8       R26-clean3.5       6.121    35.065   0.731    0.779    22.102 
3.8       R26-clean3-n3      6.106    35.053   0.728    0.776    22.078 
3.8       R26-clean3-wonly   6.101    35.245   0.711    0.758    22.136 
4.5       v2-bayes           6.560    36.812   0.715    0.765    23.780 
4.5       R26-clean3         6.613    37.681   0.679    0.726    24.401 
4.5       R26-clean3.5       6.584    37.195   0.699    0.748    24.032 
4.5       R26-clean3-n3      6.563    37.139   0.698    0.746    23.967 
4.5       R26-clean3-wonly   6.560    37.438   0.681    0.729    24.131 
